"Kreis","bet_no","wa","eigeng","fremdb","public","andbet","year","mean_temp","gva_ind_be","gva_ind_bf","wa_b","log_wa_b","log_gva","YoYWA","TC_WA","WI","TC_WI","wa_2","tot","one","multi","circ"
"Unstrut0Hainich-Kreis",18,672,361,311,285,26,"2010",7.2,396,545,37.33333333,3.619886583,5.981414211,-25.08361204,Inf,1.233027523,36.49289681,672,479,430,28,21
"Unstrut0Hainich-Kreis",22,933,488,445,419,26,"2013",8.08,448,606,42.40909091,3.747362747,6.104793232,38.83928571,0,1.53960396,-24.86371405,901,821,761,31,29
"Unstrut0Hainich-Kreis",26,1028,509,519,495,24,"2016",9.03,510,698,39.53846154,3.677273908,6.234410726,10.18220793,-7.692307692,1.47277937,4.340375349,986,910,867,17,26
"Unstrut0Hainich-Kreis",27,1165,594,571,558,14,"2019",9.78,524,716,43.14814815,3.7646395,6.261491684,13.32684825,-41.66666667,1.627094972,-10.47784927,1144,1036,996,15,25
"Wartburgkreis",21,14682,14530,151.649,138,14,"2004",8.29,741,872,699.1428571,6.549855095,6.608000625,NA,NA,16.83715596,NA,14681.514,13975.789,13760.731,34.525,180.533
"Wartburgkreis",24,16219,15800,419,419,0,"2007",9.28,961,1095,675.7916667,6.515884843,6.867974409,10.46860101,-100,14.81187215,12.02865746,16219,15548,15192,45,312
"Wartburgkreis",18,12841,12520,321,321,0,"2010",7.2,988,1136,713.3888889,6.570026698,6.895682698,-20.82742463,NA,11.30369718,23.68488553,12841,12241,11259,150,832
"Wartburgkreis",21,12127,11775,352,352,0,"2013",8.08,1055,1224,577.4761905,6.358667213,6.961296046,-5.560314617,NA,9.907679739,12.35009592,12126,11553,10571,258,724
"Wartburgkreis",20,11084,10715,369,369,0,"2016",9.03,1123,1308,554.2,6.317525632,7.023758955,-8.600643193,NA,8.474006116,14.47032666,11083,10523,9434,353,735
"Wartburgkreis",22,12448,11980,468,434,34,"2019",9.78,1263,1462,565.8181818,6.338272793,7.141245122,12.30602671,Inf,8.514363885,-0.476253714,11820,11276,9142,1397,737
"Weimarer Land",9,455.602,131.722,323.88,323.88,0,"2004",8.29,329,427,50.62244444,3.924395044,5.796057751,NA,NA,1.066983607,NA,455.602,399.542,378.36,1.8,19.382
"Weimarer Land",19,897,335,562,493,70,"2007",9.28,386,494,47.21052632,3.854616883,5.955837369,96.88236663,Inf,1.815789474,-70.17969747,897,861,745,17,100
"Weimarer Land",19,812,283,529,483,46,"2010",7.2,344,483,42.73684211,3.755061361,5.840641657,-9.476031215,-34.28571429,1.68115942,7.414408738,812,809,697,9,103
"Weimarer Land",17,792,221,571,520,51,"2013",8.08,397,568,46.58823529,3.841348048,5.983936281,-2.463054187,10.86956522,1.394366197,17.05925206,789,789,771,0,18
"Weimarer Land",19,996,372,624,579,45,"2016",9.03,436,625,52.42105263,3.959308278,6.077642243,25.75757576,-11.76470588,1.5936,-14.28848485,994,994,951,21,21
"Weimarer Land",18,689,191,498,494,4,"2019",9.78,417,634,38.27777778,3.644869513,6.033086222,-30.82329317,-91.11111111,1.086750789,31.8052969,689,689,681,3,5
